Time(s)	Conductance(uS)
178.203000	14.429500
178.303000	14.429500
178.403000	14.046800
178.503000	3.857900
178.603000	12.294200
178.703000	0.000000
178.803000	0.000000
178.903000	14.429500
179.003000	14.814800
179.103000	14.686100
179.203000	14.557700
179.303000	14.557700
179.403000	14.429500
179.503000	14.429500
179.603000	14.429500
179.703000	14.429500
179.803000	14.301700
179.903000	14.429500
180.003000	14.301700
180.103000	14.301700
180.203000	14.301700
180.303000	14.301700
180.403000	14.301700
180.503000	14.429500
180.603000	14.301700
180.703000	14.301700
180.803000	14.429500
180.903000	14.301700
181.003000	14.301700
181.103000	14.557700
181.203000	14.301700
181.303000	14.429500
181.403000	14.301700
181.503000	14.429500
181.603000	14.557700
181.703000	14.429500
181.803000	14.429500
181.903000	14.686100
182.003000	14.429500
182.103000	14.557700
182.203000	14.814800
182.303000	14.557700
182.403000	14.686100
182.503000	14.814800
182.603000	14.557700
182.703000	14.814800
182.803000	14.943800
182.903000	14.686100
183.003000	14.814800
183.103000	15.073100
183.203000	14.814800
183.303000	14.943800
183.403000	15.073100
183.503000	14.814800
183.603000	14.943800
183.703000	15.073100
183.803000	14.814800
183.903000	15.073100
184.003000	15.202700
184.103000	14.943800
184.203000	15.073100
184.303000	15.332600
184.403000	15.073100
184.503000	15.202700
184.603000	14.943800
184.703000	15.073100
184.803000	15.202700
184.903000	15.073100
185.003000	15.202700
185.103000	15.332600
185.203000	15.073100
185.303000	15.202700
185.403000	15.332600
185.503000	15.202700
185.603000	15.332600
185.703000	15.332600
185.803000	15.202700
185.903000	15.332600
186.003000	15.462800
186.103000	15.332600
186.203000	15.332600
186.303000	15.462800
186.403000	15.332600
186.503000	15.462800
186.603000	15.462800
186.703000	15.332600
186.803000	15.332600
186.903000	15.462800
187.003000	15.202700
187.103000	15.462800
187.203000	15.462800
187.303000	12.541300
187.403000	15.332600
187.503000	15.462800
187.603000	15.202700
187.703000	15.202700
187.803000	15.202700
187.903000	15.332600
188.003000	15.202700
188.103000	15.073100
188.203000	15.202700
188.303000	15.202700
188.403000	15.073100
188.503000	15.202700
188.603000	15.073100
188.703000	15.073100
188.803000	15.202700
188.903000	15.332600
189.003000	15.202700
189.103000	15.202700
189.203000	15.073100
189.303000	15.202700
189.403000	15.332600
189.503000	15.332600
189.603000	15.202700
189.703000	15.332600
189.803000	15.332600
189.903000	15.202700
190.003000	15.202700
190.103000	15.332600
190.203000	15.202700
190.303000	15.332600
190.403000	15.332600
190.503000	15.332600
190.603000	15.332600
190.703000	15.332600
190.803000	15.332600
190.903000	15.332600
191.003000	15.202700
191.103000	15.202700
191.203000	15.202700
191.303000	15.202700
191.403000	15.202700
191.503000	15.202700
191.603000	15.202700
191.703000	15.202700
191.803000	15.202700
191.903000	15.202700
192.003000	15.202700
192.103000	15.202700
192.203000	15.202700
192.303000	15.202700
192.403000	15.202700
192.503000	15.202700
192.603000	15.073100
192.703000	15.073100
192.803000	15.073100
192.903000	15.073100
193.003000	15.073100
193.103000	15.073100
193.203000	15.073100
193.303000	15.073100
193.403000	15.073100
193.503000	15.073100
193.603000	15.073100
193.703000	15.073100
193.803000	15.073100
193.903000	15.073100
194.003000	15.073100
194.103000	15.073100
194.203000	15.073100
194.303000	15.073100
194.403000	15.073100
194.503000	15.073100
194.603000	15.073100
194.703000	15.073100
194.803000	15.073100
194.903000	15.073100
195.003000	15.073100
195.103000	15.073100
195.203000	15.073100
195.303000	15.073100
195.403000	15.073100
195.503000	15.073100
195.603000	15.202700
195.703000	15.073100
195.803000	15.073100
195.903000	15.073100
196.003000	15.073100
196.103000	15.073100
196.203000	15.073100
196.303000	15.073100
196.403000	15.073100
196.503000	14.943800
196.603000	15.073100
196.703000	15.073100
196.803000	14.814800
196.903000	15.073100
197.003000	14.943800
197.103000	14.686100
197.203000	14.943800
197.303000	14.814800
197.403000	14.943800
197.503000	14.814800
197.603000	14.557700
197.703000	14.943800
197.803000	14.814800
197.903000	14.429500
198.003000	14.814800
198.103000	14.557700
198.203000	14.174100
198.303000	14.686100
198.403000	14.301700
198.503000	13.919800
198.603000	14.429500
198.703000	14.174100
198.803000	13.919800
198.903000	14.301700
199.003000	13.919800
199.103000	13.793100
199.203000	14.046800
199.303000	13.666700
199.403000	13.540500
199.503000	13.666700
199.603000	13.666700
199.703000	13.540500
199.803000	13.666700
199.903000	13.540500
200.003000	13.414600
200.103000	13.666700
